Hanzi,Pinyin,English,Hanzi + Pinyin,Pinyin + English
今天讨论的重点是环保。,Jīn tiān tǎo lùn de zhòng diǎn shì huán bǎo.,The focus of today's discussion is on environmental protection.,今天讨论的重点是环保。 - Jīn tiān tǎo lùn de zhòng diǎn shì huán bǎo.,Jīn tiān tǎo lùn de zhòng diǎn shì huán bǎo. - The focus of today's discussion is on environmental protection.
很多餐馆都用一次性筷子。,Hěn duō cānguǎn dōu yòng yícìxìng kuàizi.,A lot of restaurants use single-use chopsticks.,很多餐馆都用一次性筷子。 - Hěn duō cānguǎn dōu yòng yícìxìng kuàizi.,Hěn duō cānguǎn dōu yòng yícìxìng kuàizi. - A lot of restaurants use single-use chopsticks.
请给我一个一次性餐盒。,Qǐng gěi wǒ yí ge yícìxìng cānhé.,Please give me a single-use lunch box.,请给我一个一次性餐盒。 - Qǐng gěi wǒ yí ge yícìxìng cānhé.,Qǐng gěi wǒ yí ge yícìxìng cānhé. - Please give me a single-use lunch box.
有些垃圾是可以回收的。,Yǒuxiē lājī shì kéyǐ huíshōu de.,Some garbage can be recycled.,有些垃圾是可以回收的。 - Yǒuxiē lājī shì kéyǐ huíshōu de.,Yǒuxiē lājī shì kéyǐ huíshōu de. - Some garbage can be recycled.
这条街晚上会很热闹。,Zhè tiáo jiē wǎnshɑng huì hěn rènɑo.,At night this street is very lively.,这条街晚上会很热闹。 - Zhè tiáo jiē wǎnshɑng huì hěn rènɑo.,Zhè tiáo jiē wǎnshɑng huì hěn rènɑo. - At night this street is very lively.
超市的塑料袋不是免费的。,Chāoshì de sùliàodài búshì miǎnfèi de.,The plastic bags at the supermarket aren't free.,超市的塑料袋不是免费的。 - Chāoshì de sùliàodài búshì miǎnfèi de.,Chāoshì de sùliàodài búshì miǎnfèi de. - The plastic bags at the supermarket aren't free.
公园里有一片绿地。,Gōngyuán lǐ yǒu yí piàn lǜdì.,There is a section of green space in the park.,公园里有一片绿地。 - Gōngyuán lǐ yǒu yí piàn lǜdì.,Gōngyuán lǐ yǒu yí piàn lǜdì. - There is a section of green space in the park.
他花了十万块买了这辆车。,Tā huāle shí wàn kuài mǎile zhè liàng chē.,He spent one-hundred thousands to buy this car.,他花了十万块买了这辆车。 - Tā huāle shí wàn kuài mǎile zhè liàng chē.,Tā huāle shí wàn kuài mǎile zhè liàng chē. - He spent one-hundred thousands to buy this car.
手机改变了我们的生活。,Shǒujī gǎibiàn le wǒmen de shēnghuó.,Smartphone have changed our life.,手机改变了我们的生活。 - Shǒujī gǎibiàn le wǒmen de shēnghuó.,Shǒujī gǎibiàn le wǒmen de shēnghuó. - Smartphone have changed our life.
买这么多没用的东西，你不觉得浪费钱吗？,"Mǎi zhème duō méiyòng de dōngxi, nǐ bù juéde làngfèi qián mɑ?","Buying so many useless things, don't you think that's a waste of money?","买这么多没用的东西，你不觉得浪费钱吗？ - Mǎi zhème duō méiyòng de dōngxi, nǐ bù juéde làngfèi qián mɑ?","Mǎi zhème duō méiyòng de dōngxi, nǐ bù juéde làngfèi qián mɑ? - Buying so many useless things, don't you think that's a waste of money?"
我真后悔来这里旅游，没有一个好玩的地方。,"wǒ zhēn hòuhuǐ lái zhèlǐ lǚyóu, méiyǒu yí gè hǎowán de dìfɑng.","I really regret coming here for travel, it is not a fun place.","我真后悔来这里旅游，没有一个好玩的地方。 - wǒ zhēn hòuhuǐ lái zhèlǐ lǚyóu, méiyǒu yí gè hǎowán de dìfɑng.","wǒ zhēn hòuhuǐ lái zhèlǐ lǚyóu, méiyǒu yí gè hǎowán de dìfɑng. - I really regret coming here for travel, it is not a fun place."
月光族总是有一分花一分。,Yuèguāng zú zǒngshì yǒu yì fēn huā yì fēn.,"Moonlight families are always have one, spend one.",月光族总是有一分花一分。 - Yuèguāng zú zǒngshì yǒu yì fēn huā yì fēn.,"Yuèguāng zú zǒngshì yǒu yì fēn huā yì fēn. - Moonlight families are always have one, spend one."
她这么好的身体是长期锻炼的结果。,Tā zhème hǎo de shēntǐ shì chángqī duànliàn de jiéguǒ.,Her body is good because she has been exercising for so long.,她这么好的身体是长期锻炼的结果。 - Tā zhème hǎo de shēntǐ shì chángqī duànliàn de jiéguǒ.,Tā zhème hǎo de shēntǐ shì chángqī duànliàn de jiéguǒ. - Her body is good because she has been exercising for so long.
几年来她存了不少存款。,Jǐnián lái tā cúnle bùshǎo cúnkuǎn.,Over the years she saved a lot of money.,几年来她存了不少存款。 - Jǐnián lái tā cúnle bùshǎo cúnkuǎn.,Jǐnián lái tā cúnle bùshǎo cúnkuǎn. - Over the years she saved a lot of money.
你太瘦了，要尽量多吃点才行。,"Nǐ tài shòu le, yào jìnliàng duō chī diǎn cái xíng.","You're too skinny, do your best to eat more to be ok.","你太瘦了，要尽量多吃点才行。 - Nǐ tài shòu le, yào jìnliàng duō chī diǎn cái xíng.","Nǐ tài shòu le, yào jìnliàng duō chī diǎn cái xíng. - You're too skinny, do your best to eat more to be ok."
我刚刚在银行办了一张信用卡。,Wǒ gānggāng zài yínháng bànle yì zhāng xìnyòngkǎ.,I just got a credit card at the bank.,我刚刚在银行办了一张信用卡。 - Wǒ gānggāng zài yínháng bànle yì zhāng xìnyòngkǎ.,Wǒ gānggāng zài yínháng bànle yì zhāng xìnyòngkǎ. - I just got a credit card at the bank.
别急着付费，先看一下是不是你买的。,"Bié jízhe fùfèi, xiān kàn yí xià shì búshì nǐ mǎi de.","Don't rush to pay, first see if you bought it.","别急着付费，先看一下是不是你买的。 - Bié jízhe fùfèi, xiān kàn yí xià shì búshì nǐ mǎi de.","Bié jízhe fùfèi, xiān kàn yí xià shì búshì nǐ mǎi de. - Don't rush to pay, first see if you bought it."
你让孩子这样玩很不安全。,Nǐ ràng háizi zhèyàng wán hěn bù ānquán.,You letting children play like this is not safe.,你让孩子这样玩很不安全。 - Nǐ ràng háizi zhèyàng wán hěn bù ānquán.,Nǐ ràng háizi zhèyàng wán hěn bù ānquán. - You letting children play like this is not safe.
他找我借钱，我当时身上刚好没钱。,"Tā zhǎo wǒ jièqián, wǒ dāngshí shēnshàng gānghǎo méi qián.","He asked me to borrow money, but at the time I had no money to give.","他找我借钱，我当时身上刚好没钱。 - Tā zhǎo wǒ jièqián, wǒ dāngshí shēnshàng gānghǎo méi qián.","Tā zhǎo wǒ jièqián, wǒ dāngshí shēnshàng gānghǎo méi qián. - He asked me to borrow money, but at the time I had no money to give."
"这是我的名片, 上面有我的联系方式。","Zhè shì wǒ de míngpiàn, shàngmiɑn yǒu wǒ de liánxì fāngshì.","This is my business card, the above part is my contact method.","这是我的名片, 上面有我的联系方式。 - Zhè shì wǒ de míngpiàn, shàngmiɑn yǒu wǒ de liánxì fāngshì.","Zhè shì wǒ de míngpiàn, shàngmiɑn yǒu wǒ de liánxì fāngshì. - This is my business card, the above part is my contact method."
八点钟了，我们该吃早餐了。,"Bā diǎn zhōng le, wǒmen gāi chī zǎocān le.","Eight o'clock, we should eat breakfast.","八点钟了，我们该吃早餐了。 - Bā diǎn zhōng le, wǒmen gāi chī zǎocān le.","Bā diǎn zhōng le, wǒmen gāi chī zǎocān le. - Eight o'clock, we should eat breakfast."
你为什么就不肯帮她一下呢？,Nǐ wèishénme jiù bù kěn bāng tā yí xià ne?,Why would not you help her a bit?,你为什么就不肯帮她一下呢？ - Nǐ wèishénme jiù bù kěn bāng tā yí xià ne?,Nǐ wèishénme jiù bù kěn bāng tā yí xià ne? - Why would not you help her a bit?
我钱包里剩下的现金不多了。,Wǒ qiánbāo lǐ shèngxià de xiànjīn bù duō le.,The cash left in my wallet is running out.,我钱包里剩下的现金不多了。 - Wǒ qiánbāo lǐ shèngxià de xiànjīn bù duō le.,Wǒ qiánbāo lǐ shèngxià de xiànjīn bù duō le. - The cash left in my wallet is running out.
在考试的时候，我往往特别紧张。,"Zài kǎoshì de shíhou, wǒ wǎngwǎng tèbié jǐnzhāng.","When taking a test, I am particularly nervous.","在考试的时候，我往往特别紧张。 - Zài kǎoshì de shíhou, wǒ wǎngwǎng tèbié jǐnzhāng.","Zài kǎoshì de shíhou, wǒ wǎngwǎng tèbié jǐnzhāng. - When taking a test, I am particularly nervous."
你先确认一下这个号码是谁的。,Nǐ xiān quèrèn yīxià zhège hàomǎ shì shéi de.,First confirm who's number this is.,你先确认一下这个号码是谁的。 - Nǐ xiān quèrèn yīxià zhège hàomǎ shì shéi de.,Nǐ xiān quèrèn yīxià zhège hàomǎ shì shéi de. - First confirm who's number this is.
下雨天开车千万要小心。,Xiàyǔtiān kāichē qiānwàn yào xiǎoxīn.,When driving on rainy days you must be careful.,下雨天开车千万要小心。 - Xiàyǔtiān kāichē qiānwàn yào xiǎoxīn.,Xiàyǔtiān kāichē qiānwàn yào xiǎoxīn. - When driving on rainy days you must be careful.
风太大，别出门，小心着凉了！,"Fēng tài dà, bié chūmén, xiǎoxīn zháoliáng le!","It's too windy, don't go out, be careful of catching a cold!","风太大，别出门，小心着凉了！ - Fēng tài dà, bié chūmén, xiǎoxīn zháoliáng le!","Fēng tài dà, bié chūmén, xiǎoxīn zháoliáng le! - It's too windy, don't go out, be careful of catching a cold!"
你看这两个字有什么区别?,Nǐ kàn zhè liǎng ge zì yǒu shénme qūbié ?,Do you see the difference between these two words?,你看这两个字有什么区别? - Nǐ kàn zhè liǎng ge zì yǒu shénme qūbié ?,Nǐ kàn zhè liǎng ge zì yǒu shénme qūbié ? - Do you see the difference between these two words?
天气这么凉，你穿这么少，早晚会生病的。,"Tiānqì zhème liáng, nǐ chuān zhème shǎo, zǎowǎn huì shēngbìng de.","The weather is cold and you're wearing so little, sooner or later you're going to catch a cold.","天气这么凉，你穿这么少，早晚会生病的。 - Tiānqì zhème liáng, nǐ chuān zhème shǎo, zǎowǎn huì shēngbìng de.","Tiānqì zhème liáng, nǐ chuān zhème shǎo, zǎowǎn huì shēngbìng de. - The weather is cold and you're wearing so little, sooner or later you're going to catch a cold."
天气变化太大，我一时还适应不了。,"Tiānqì biànhuà tài dà, wǒ yìshí hái shìyìng bù liǎo.","The weather changes are too great, now I still can't get used to it.","天气变化太大，我一时还适应不了。 - Tiānqì biànhuà tài dà, wǒ yìshí hái shìyìng bù liǎo.","Tiānqì biànhuà tài dà, wǒ yìshí hái shìyìng bù liǎo. - The weather changes are too great, now I still can't get used to it."
你总算来了，我等了你两个小时！,"Nǐ zǒngsuàn lái le, wǒ děngle nǐ liǎng ge xiǎoshí!","You finally came, I've been waiting two hours!","你总算来了，我等了你两个小时！ - Nǐ zǒngsuàn lái le, wǒ děngle nǐ liǎng ge xiǎoshí!","Nǐ zǒngsuàn lái le, wǒ děngle nǐ liǎng ge xiǎoshí! - You finally came, I've been waiting two hours!"
天气预报说明天要降温了。,Tiānqì yùbào shuō míngtiān yào jiàngwēn le.,The weather report says that tomorrow will be cooler.,天气预报说明天要降温了。 - Tiānqì yùbào shuō míngtiān yào jiàngwēn le.,Tiānqì yùbào shuō míngtiān yào jiàngwēn le. - The weather report says that tomorrow will be cooler.
他是个有趣的人，喜欢开玩笑。,"Tā shì ge yǒuqù de rén, xǐhuɑn kāiwánxiào .","He is a fun loving person, loves to make jokes.","他是个有趣的人，喜欢开玩笑。 - Tā shì ge yǒuqù de rén, xǐhuɑn kāiwánxiào .","Tā shì ge yǒuqù de rén, xǐhuɑn kāiwánxiào . - He is a fun loving person, loves to make jokes."
这次到中国来，我想去参观中国的万里长城。,"Zhè cì dào Zhōngguó lái, wǒ xiǎng qù cānguān Zhōngguó de wànlǐ chángchéng.","This time in China, I want to visit China's Great Wall.","这次到中国来，我想去参观中国的万里长城。 - Zhè cì dào Zhōngguó lái, wǒ xiǎng qù cānguān Zhōngguó de wànlǐ chángchéng.","Zhè cì dào Zhōngguó lái, wǒ xiǎng qù cānguān Zhōngguó de wànlǐ chángchéng. - This time in China, I want to visit China's Great Wall."
为了安全，乘坐公交车每个人都需要有位子，不可以站着。,"Wèi le ānquán, chéngzuò gōngjiāochē měi gè rén dōu xūyào yǒu wèizi, bù kěyǐ zhàn zhe.","For the sake of safety, every passenger on the bus must have a seat, they can not stand.","为了安全，乘坐公交车每个人都需要有位子，不可以站着。 - Wèi le ānquán, chéngzuò gōngjiāochē měi gè rén dōu xūyào yǒu wèizi, bù kěyǐ zhàn zhe.","Wèi le ānquán, chéngzuò gōngjiāochē měi gè rén dōu xūyào yǒu wèizi, bù kěyǐ zhàn zhe. - For the sake of safety, every passenger on the bus must have a seat, they can not stand."
熊猫是中国很有名的动物。,Xióngmāo shì Zhōngguó hěn yǒumíng de dòngwù.,Pandas are one of China's famous animals.,熊猫是中国很有名的动物。 - Xióngmāo shì Zhōngguó hěn yǒumíng de dòngwù.,Xióngmāo shì Zhōngguó hěn yǒumíng de dòngwù. - Pandas are one of China's famous animals.
如果去中国旅游，一定要去尝尝当地的小吃。,"Rúguǒ qù Zhōngguó lǚyóu, yídìng yào qù chángcháng dāngdì de xiǎochī.","If you're traveling to China, you have to try the local snacks.","如果去中国旅游，一定要去尝尝当地的小吃。 - Rúguǒ qù Zhōngguó lǚyóu, yídìng yào qù chángcháng dāngdì de xiǎochī.","Rúguǒ qù Zhōngguó lǚyóu, yídìng yào qù chángcháng dāngdì de xiǎochī. - If you're traveling to China, you have to try the local snacks."
他说的建议对公司又好又赚钱，值得我们认真考虑。,"Tā shuō de jiànyì duì gōngsī yòu hǎo yòu zhuànqián, zhídé wǒmen rènzhēn kǎolǜ.","His recommendations for the company were good and saved money, definitely worthy of our serious consideration.","他说的建议对公司又好又赚钱，值得我们认真考虑。 - Tā shuō de jiànyì duì gōngsī yòu hǎo yòu zhuànqián, zhídé wǒmen rènzhēn kǎolǜ.","Tā shuō de jiànyì duì gōngsī yòu hǎo yòu zhuànqián, zhídé wǒmen rènzhēn kǎolǜ. - His recommendations for the company were good and saved money, definitely worthy of our serious consideration."
你得赶快适应这里的生活才可以开始找工作。,Nǐ děi gǎnkuài shìyìng zhèlǐ de shēnghuó cái kěyǐ kāishǐ zhǎo gōngzuò.,You have to quickly adapt to life here before start to look for a job.,你得赶快适应这里的生活才可以开始找工作。 - Nǐ děi gǎnkuài shìyìng zhèlǐ de shēnghuó cái kěyǐ kāishǐ zhǎo gōngzuò.,Nǐ děi gǎnkuài shìyìng zhèlǐ de shēnghuó cái kěyǐ kāishǐ zhǎo gōngzuò. - You have to quickly adapt to life here before start to look for a job.
她的中文能力很不错，可以请她来面试。,"Tā de zhōngwén nénglì hěn búcuò, kěyǐ qǐng tā lái miànshì.","HIs Chinese ability is pretty good, you can have him interview.","她的中文能力很不错，可以请她来面试。 - Tā de zhōngwén nénglì hěn búcuò, kěyǐ qǐng tā lái miànshì.","Tā de zhōngwén nénglì hěn búcuò, kěyǐ qǐng tā lái miànshì. - HIs Chinese ability is pretty good, you can have him interview."
他工作态度很差，除了上班迟到事情也没做好。,"Tā gōngzuò tàidù hěn chā, chúle shàngbān chídào shìqing yě méi zuò hǎo.","His attitude toward work is bad, besides coming into work late other he also doesn't do well.","他工作态度很差，除了上班迟到事情也没做好。 - Tā gōngzuò tàidù hěn chā, chúle shàngbān chídào shìqing yě méi zuò hǎo.","Tā gōngzuò tàidù hěn chā, chúle shàngbān chídào shìqing yě méi zuò hǎo. - His attitude toward work is bad, besides coming into work late other he also doesn't do well."
爸爸常常告诉我要做一个诚实的小孩。,Bàba chángcháng gàosù wǒ yào zuò yígè chéngshí de xiǎohái.,Dad often tells me to be an honest child.,爸爸常常告诉我要做一个诚实的小孩。 - Bàba chángcháng gàosù wǒ yào zuò yígè chéngshí de xiǎohái.,Bàba chángcháng gàosù wǒ yào zuò yígè chéngshí de xiǎohái. - Dad often tells me to be an honest child.
我这次出差起码要一个月才能回来。,Wǒ zhè cì chūchāi qǐmǎ yào yí gè yuè cái néng huílái.,For this business trip it'll be almost a month before I return.,我这次出差起码要一个月才能回来。 - Wǒ zhè cì chūchāi qǐmǎ yào yí gè yuè cái néng huílái.,Wǒ zhè cì chūchāi qǐmǎ yào yí gè yuè cái néng huílái. - For this business trip it'll be almost a month before I return.
经过这次的面试我了解到自己还有很多不足的地方可以进步。,Jīngguò zhè cì de miànshì wǒ liǎojiě dào zìjǐ háiyǒu hěnduō bùzú de dìfāng kěyǐ jìnbù.,After this interview I learned that there are still many deficient areas where I can progress.,经过这次的面试我了解到自己还有很多不足的地方可以进步。 - Jīngguò zhè cì de miànshì wǒ liǎojiě dào zìjǐ háiyǒu hěnduō bùzú de dìfāng kěyǐ jìnbù.,Jīngguò zhè cì de miànshì wǒ liǎojiě dào zìjǐ háiyǒu hěnduō bùzú de dìfāng kěyǐ jìnbù. - After this interview I learned that there are still many deficient areas where I can progress.
他们俩之间是什么关系？,Tāmen liǎ zhījiān shì shénme guānxi?,What's the relationship between those two?,他们俩之间是什么关系？ - Tāmen liǎ zhījiān shì shénme guānxi?,Tāmen liǎ zhījiān shì shénme guānxi? - What's the relationship between those two?
包里有六本书，其中一本是老师的。,"Bāo lǐ yǒu liù běn shū,qízhōng yì běn shì lǎoshī de.","There are six books in the book, one of which is the teacher's.","包里有六本书，其中一本是老师的。 - Bāo lǐ yǒu liù běn shū,qízhōng yì běn shì lǎoshī de.","Bāo lǐ yǒu liù běn shū,qízhōng yì běn shì lǎoshī de. - There are six books in the book, one of which is the teacher's."
不管遇到什么困难，我们俩都不会分离。,"Bùguǎn yùdào shénme kùnnɑn, wǒmen liǎ dōu bú huì fēnlí.","Whatever trouble you meet, us two will never separate.","不管遇到什么困难，我们俩都不会分离。 - Bùguǎn yùdào shénme kùnnɑn, wǒmen liǎ dōu bú huì fēnlí.","Bùguǎn yùdào shénme kùnnɑn, wǒmen liǎ dōu bú huì fēnlí. - Whatever trouble you meet, us two will never separate."
结了婚，你们就是夫妻了。,"Jiéle hūn, nǐmen jiù shì fūqī le.","After marriage, you are husband and wife.","结了婚，你们就是夫妻了。 - Jiéle hūn, nǐmen jiù shì fūqī le.","Jiéle hūn, nǐmen jiù shì fūqī le. - After marriage, you are husband and wife."
有礼貌的孩子人人都喜欢。,Yǒu lǐmào de háizi rénrén dōu xǐhuɑn.,Everyone like children with good manners.,有礼貌的孩子人人都喜欢。 - Yǒu lǐmào de háizi rénrén dōu xǐhuɑn.,Yǒu lǐmào de háizi rénrén dōu xǐhuɑn. - Everyone like children with good manners.
在图书馆不能大声说话，这是对别人的尊重。,"Zài túshūguǎn bùnéng dàshēng shuōhuà, zhè shì duì biérén de zūnzhòng.","At the library you can't speak loudly, this is way of respecting others.","在图书馆不能大声说话，这是对别人的尊重。 - Zài túshūguǎn bùnéng dàshēng shuōhuà, zhè shì duì biérén de zūnzhòng.","Zài túshūguǎn bùnéng dàshēng shuōhuà, zhè shì duì biérén de zūnzhòng. - At the library you can't speak loudly, this is way of respecting others."
由于天气原因，篮球比赛没法进行。,"Yóuyú tiānqì yuányīn, lánqiú bǐsài méi fǎ jìnxíng.","Due to weather reasons, the basketball game couldn't be carried out.","由于天气原因，篮球比赛没法进行。 - Yóuyú tiānqì yuányīn, lánqiú bǐsài méi fǎ jìnxíng.","Yóuyú tiānqì yuányīn, lánqiú bǐsài méi fǎ jìnxíng. - Due to weather reasons, the basketball game couldn't be carried out."
你就把这儿当作自己的家，不必太客气。,"Nǐ jiù bǎ zhèr dàngzuò zìjǐ de jiā, búbì tài kèqi.","You can consider this your own home, no need to be so polite.","你就把这儿当作自己的家，不必太客气。 - Nǐ jiù bǎ zhèr dàngzuò zìjǐ de jiā, búbì tài kèqi.","Nǐ jiù bǎ zhèr dàngzuò zìjǐ de jiā, búbì tài kèqi. - You can consider this your own home, no need to be so polite."
回国的时候，我打算买些中国的餐具。,"Huíguó de shíhou, wǒ dǎsuɑn mǎi xiē Zhōngguó de cānjù.","When I return to my country, I plan to buy some Chinese tableware.","回国的时候，我打算买些中国的餐具。 - Huíguó de shíhou, wǒ dǎsuɑn mǎi xiē Zhōngguó de cānjù.","Huíguó de shíhou, wǒ dǎsuɑn mǎi xiē Zhōngguó de cānjù. - When I return to my country, I plan to buy some Chinese tableware."
做东的意思是请客。,Zuòdōng de yìsi shì qǐngkè.,Zuo Dong means to treat to dinner.,做东的意思是请客。 - Zuòdōng de yìsi shì qǐngkè.,Zuòdōng de yìsi shì qǐngkè. - Zuo Dong means to treat to dinner.
她买的每一件衣服都很讲究。,Tā mǎi de měi yí jiàn yīfu dōu hěn jiǎngjiū.,Every piece of clothing she buys if very particular.,她买的每一件衣服都很讲究。 - Tā mǎi de měi yí jiàn yīfu dōu hěn jiǎngjiū.,Tā mǎi de měi yí jiàn yīfu dōu hěn jiǎngjiū. - Every piece of clothing she buys if very particular.
上大学也好，不上大学也好，你自己决定吧！,Shàng dàxué yěhǎo， bú shàng dàxué yěhǎo， nǐ zìjǐ juédìng bɑ!,"Going to college is ok, not going to college is also ok, its up to you to decide!",上大学也好，不上大学也好，你自己决定吧！ - Shàng dàxué yěhǎo， bú shàng dàxué yěhǎo， nǐ zìjǐ juédìng bɑ!,"Shàng dàxué yěhǎo， bú shàng dàxué yěhǎo， nǐ zìjǐ juédìng bɑ! - Going to college is ok, not going to college is also ok, its up to you to decide!"
我对这件事情没有什么特别的看法。,Wǒ duì zhè jiàn shìqíng méiyǒu shénme tèbié de kànfǎ.,I don't have an special opinion on this matter.,我对这件事情没有什么特别的看法。 - Wǒ duì zhè jiàn shìqíng méiyǒu shénme tèbié de kànfǎ.,Wǒ duì zhè jiàn shìqíng méiyǒu shénme tèbié de kànfǎ. - I don't have an special opinion on this matter.
你看过那篇报导了吗？,Nǐ kànguò nà piān bàodǎo le ma?,Have you seen that report?,你看过那篇报导了吗？ - Nǐ kànguò nà piān bàodǎo le ma?,Nǐ kànguò nà piān bàodǎo le ma? - Have you seen that report?
二分之一指得是一半。,Èr fēnzhī yī zhǐ de shì yí bàn.,One out of two is one half.,二分之一指得是一半。 - Èr fēnzhī yī zhǐ de shì yí bàn.,Èr fēnzhī yī zhǐ de shì yí bàn. - One out of two is one half.
我的父母反对我到中国工作，因为他们觉得离家太远了。,"Wǒ de fùmǔ fǎnduì wǒ dào Zhōngguó gōngzuò, yīnwèi tāmen juéde lí jiā tài yuǎn le.",My parents oppose me working in China because they think it is too far from home.,"我的父母反对我到中国工作，因为他们觉得离家太远了。 - Wǒ de fùmǔ fǎnduì wǒ dào Zhōngguó gōngzuò, yīnwèi tāmen juéde lí jiā tài yuǎn le.","Wǒ de fùmǔ fǎnduì wǒ dào Zhōngguó gōngzuò, yīnwèi tāmen juéde lí jiā tài yuǎn le. - My parents oppose me working in China because they think it is too far from home."
现在的大学生除了喜欢参加学校活动，也喜欢去打工。,"Xiànzài de dàxuéshēng chúle xǐhuān cānjiā xuéxiào huódòng, yě xǐhuān qù dǎgōng.","Now college students, in addition to like to participate in school activities, also like to part-time work.","现在的大学生除了喜欢参加学校活动，也喜欢去打工。 - Xiànzài de dàxuéshēng chúle xǐhuān cānjiā xuéxiào huódòng, yě xǐhuān qù dǎgōng.","Xiànzài de dàxuéshēng chúle xǐhuān cānjiā xuéxiào huódòng, yě xǐhuān qù dǎgōng. - Now college students, in addition to like to participate in school activities, also like to part-time work."
我不能去参加他的生日会的原因是我得加班。,Wǒ bùnéng qù cānjiā tā de shēngrì huì de yuányīn shì wǒ děi jiābān.,I can't attend the birthday party because I have to work overtime.,我不能去参加他的生日会的原因是我得加班。 - Wǒ bùnéng qù cānjiā tā de shēngrì huì de yuányīn shì wǒ děi jiābān.,Wǒ bùnéng qù cānjiā tā de shēngrì huì de yuányīn shì wǒ děi jiābān. - I can't attend the birthday party because I have to work overtime.
这确实是一个很不错的建议，我们或许可以试试看。,"Zhè quèshí shì yí gè hěn búcuò de jiànyì, wǒmen huòxǔ kěyǐ shìshì kàn.","This is indeed a very good suggestion, we may be able to have a try.","这确实是一个很不错的建议，我们或许可以试试看。 - Zhè quèshí shì yí gè hěn búcuò de jiànyì, wǒmen huòxǔ kěyǐ shìshì kàn.","Zhè quèshí shì yí gè hěn búcuò de jiànyì, wǒmen huòxǔ kěyǐ shìshì kàn. - This is indeed a very good suggestion, we may be able to have a try."
